CARD COMPANY NAME ANONYMISED,,,,
,,,,
Receivable Invoice Detail,,,,
,,,,
Date: January to July 2026,,,,
,,,,
Invoice Date,Item Code,Description,Quantity,Shop
4-Jan-26,REMOVED FOR ANONYMITY,REMOVED FOR ANONYMITY,12,A
4-Jan-26,REMOVED FOR ANONYMITY,REMOVED FOR ANONYMITY,12,A
4-Jan-26,REMOVED FOR ANONYMITY,REMOVED FOR ANONYMITY,12,A
4-Jan-26,REMOVED FOR ANONYMITY,REMOVED FOR ANONYMITY,12,A
4-Jan-26,REMOVED FOR ANONYMITY,REMOVED FOR ANONYMITY,12,A
4-Jan-26,REMOVED FOR ANONYMITY,REMOVED FOR ANONYMITY,12,A
4-Jan-26,REMOVED FOR ANONYMITY,REMOVED FOR ANONYMITY,12,A
4-Jan-26,REMOVED FOR ANONYMITY,REMOVED FOR ANONYMITY,12,A
4-Jan-26,REMOVED FOR ANONYMITY,REMOVED FOR ANONYMITY,18,A
4-Jan-26,REMOVED FOR ANONYMITY,REMOVED FOR ANONYMITY,6,A
4-Jan-26,REMOVED FOR ANONYMITY,REMOVED FOR ANONYMITY,12,A
4-Jan-26,REMOVED FOR ANONYMITY,REMOVED FOR ANONYMITY,12,A
,,,,
,,,,
23-Jul-26,REMOVED FOR ANONYMITY,REMOVED FOR ANONYMITY,12,B
23-Jul-26,REMOVED FOR ANONYMITY,REMOVED FOR ANONYMITY,6,B
23-Jul-26,REMOVED FOR ANONYMITY,REMOVED FOR ANONYMITY,6,B
23-Jul-26,REMOVED FOR ANONYMITY,REMOVED FOR ANONYMITY,6,B
23-Jul-26,REMOVED FOR ANONYMITY,REMOVED FOR ANONYMITY,6,B
23-Jul-26,REMOVED FOR ANONYMITY,REMOVED FOR ANONYMITY,6,B
23-Jul-26,REMOVED FOR ANONYMITY,REMOVED FOR ANONYMITY,6,B
23-Jul-26,REMOVED FOR ANONYMITY,REMOVED FOR ANONYMITY,6,B
23-Jul-26,REMOVED FOR ANONYMITY,REMOVED FOR ANONYMITY,6,B
23-Jul-26,REMOVED FOR ANONYMITY,REMOVED FOR ANONYMITY,6,B
,,,,
,,,,
3-Jan-26,REMOVED FOR ANONYMITY,REMOVED FOR ANONYMITY,8,C
3-Jan-26,REMOVED FOR ANONYMITY,REMOVED FOR ANONYMITY,8,C
3-Jan-26,REMOVED FOR ANONYMITY,REMOVED FOR ANONYMITY,8,C
